assay_performed	pipeline_version	gene
STAMP	v4	CDKN2B
STAMP	v4	CDKN2C
STAMP	v4	CHEK1
STAMP	v4	CHEK2
STAMP	v4	CIC
STAMP	v4	CREBBP
STAMP	v4	CTNNB1
STAMP	v4	CUL3
STAMP	v4	CXCR4
STAMP	v4	CYLD
STAMP	v4	CYSLTR2
STAMP	v4	DDR2
STAMP	v4	DDX3X
STAMP	v4	DICER1
STAMP	v4	DNMT3A
STAMP	v4	DPH3
STAMP	v4	DROSHA
STAMP	v4	EGFR
STAMP	v4	EIF1AX
STAMP	v4	ELOC
STAMP	v4	EP300
STAMP	v4	EPHA2
STAMP	v4	EPHA3
STAMP	v4	ERBB2
STAMP	v4	ERBB3
STAMP	v4	ERBB4
STAMP	v4	ERCC1
STAMP	v4	ERCC2
STAMP	v4	ERRFI1
STAMP	v4	ESR1
STAMP	v4	EWSR1
STAMP	v4	EZH2
STAMP	v4	FANCA
STAMP	v4	FANCF
STAMP	v4	FANCG
STAMP	v4	FBXW7
STAMP	v4	FGF3
STAMP	v4	FGF4
STAMP	v4	FGFR1
STAMP	v4	FGFR2
STAMP	v4	FGFR3
STAMP	v4	FH
STAMP	v4	FLT3
STAMP	v4	FOXA1
STAMP	v4	FOXL2
STAMP	v4	FOXO1
STAMP	v4	FOXR2
STAMP	v4	FUBP1
STAMP	v4	GATA3
STAMP	v4	GLI1
STAMP	v4	GNA11
STAMP	v4	GNAQ
STAMP	v4	GNAS
STAMP	v4	H3-3A
STAMP	v4	H3-3B
STAMP	v4	H3C2
STAMP	v4	HGF
STAMP	v4	HNF1A
STAMP	v4	HOXB13
STAMP	v4	HRAS
STAMP	v4	IDH1
STAMP	v4	IDH2
STAMP	v4	IGF1R
STAMP	v4	IKBKE
STAMP	v4	IKZF3
STAMP	v4	JAK2
STAMP	v4	JAK3
STAMP	v4	KDM6A
STAMP	v4	KDR
STAMP	v4	KEAP1
STAMP	v4	KIT
STAMP	v4	KLF4
STAMP	v4	KRAS
STAMP	v4	LRP1B
STAMP	v4	LZTR1
STAMP	v4	MAP2K1
STAMP	v4	MAP2K2
STAMP	v4	MCL1
STAMP	v4	MDM2
STAMP	v4	MDM4
STAMP	v4	MED12
STAMP	v4	MEN1
STAMP	v4	MET
STAMP	v4	MLH1
STAMP	v4	MPL
STAMP	v4	MSH2
STAMP	v4	MSH6
STAMP	v4	MTOR
STAMP	v4	MYB
STAMP	v4	MYBL1
STAMP	v4	MYC
STAMP	v4	MYCL
STAMP	v4	MYCN
STAMP	v4	MYD88
STAMP	v4	NF1
STAMP	v4	NF2
STAMP	v4	NFE2L2
STAMP	v4	NKX2-1
STAMP	v4	NOTCH1
STAMP	v4	NOTCH3
STAMP	v4	NRAS
STAMP	v4	NTRK1
STAMP	v4	NTRK2
STAMP	v4	NTRK3
STAMP	v4	PALB2
STAMP	v4	PCBP1
STAMP	v4	PDGFRA
STAMP	v4	PDGFRB
STAMP	v4	PHOX2B
STAMP	v4	PIK3CA
STAMP	v4	PIK3R1
STAMP	v4	PLEKHS1
STAMP	v4	POLD1
STAMP	v4	POLE
STAMP	v4	POLR2A
STAMP	v4	POT1
STAMP	v4	PPP2R1A
STAMP	v4	PRKCA
STAMP	v4	PTCH1
STAMP	v4	PTEN
STAMP	v4	PTPN11
STAMP	v4	RAC1
STAMP	v4	RAF1
STAMP	v4	RB1
STAMP	v4	RELA
STAMP	v4	RET
STAMP	v4	RHEB
STAMP	v4	RHOA
STAMP	v4	RIT1
STAMP	v4	RNF43
STAMP	v4	ROS1
STAMP	v4	SDHB
STAMP	v4	SDHC
STAMP	v4	SDHD
STAMP	v4	SETBP1
STAMP	v4	SETD2
STAMP	v4	SF3B1
STAMP	v4	SMAD4
STAMP	v4	SMARCA4
STAMP	v4	SMARCB1
STAMP	v4	SMARCE1
STAMP	v4	SMO
STAMP	v4	SOX2
STAMP	v4	SPOP
STAMP	v4	SRC
STAMP	v4	SRSF2
STAMP	v4	STAG2
STAMP	v4	STK11
STAMP	v4	SUFU
STAMP	v4	TACC3
STAMP	v4	TERT
STAMP	v4	TP53
STAMP	v4	TP63
STAMP	v4	TRAF7
STAMP	v4	TSC1
STAMP	v4	TSC2
STAMP	v4	U2AF1
STAMP	v4	VEGFA
STAMP	v4	VHL
STAMP	v4	WT1
STAMP	v4	YAP1
STAMP	v4	ZMYM3
