6	1	78000	PIM1	78
11	1	77000	BIRC3	77
1	1	76000	MDM4	76
22	1	76000	IL2RB	76
5	1	76000	IL7R	76
1	1	76000	ABL2	76
2	1	76000	CUL3	76
16	1	75000	GLIS2	75
6	1	75000	SGK1	75
7	1	75000	IKZF1	75
1	1	74000	TAL1	74
11	1	71000	CCND1	71
16	1	71000	CYLD	71
12	1	71000	CDKN1B	71
9	1	70000	KLF4	70
13	1	70000	CYSLTR2	70
11	1	69000	FGF3	69
5	1	66000	EGR1	66
1	1	65000	MYCL	65
7	1	65000	PMS2	65
8	1	64000	RAD21	64
11	1	63000	MEN1	63
1	1	63000	PIK3CD	63
11	1	62000	YAP1	62
3	1	62000	FOXL2	62
17	1	62000	GNA13	62
20	1	60000	AURKA	60
1	1	60000	ERRFI1	60
3	1	60000	VHL	60
6	1	60000	STX11	60
6	1	60000	VEGFA	60
6	1	59000	IRF4	59
19	1	59000	EPOR	59
17	1	58000	RARA	58
1	1	58000	TNFRSF1B	58
5	1	58000	DDX41	58
19	1	58000	MEF2B	58
9	1	57000	PDCD1LG2	57
19	1	57000	MAP2K2	57
1	1	57000	ID3	57
9	1	57000	GNAQ	57
10	1	57000	SUFU	57
6	1	56000	CD83	56
17	1	56000	CD79B	56
20	1	55000	SRC	55
22	1	55000	EWSR1	55
10	1	55000	NFKB2	55
19	1	55000	PPP2R1A	55
12	1	54000	CCND2	54
2	1	54000	PDCD1	54
X	1	54000	UBA1	54
9	1	54000	CDKN2B	54
4	1	53000	PHOX2B	53
11	1	52000	HRAS	52
12	1	52000	MDM2	52
9	1	52000	TRAF2	52
1	1	52000	FH	52
9	1	52000	NA	52
5	1	51000	HAVCR2	51
5	1	50000	NA	50
19	1	49000	VAV1	49
1	1	49000	MEF2D	49
10	1	49000	SMC3	49
20	1	49000	PLCB1	49
3	1	49000	RAF1	49
14	1	49000	NA	49
3	1	49000	NA	49
19	1	48000	CD79A	48
X	1	48000	FOXR2	48
3	1	48000	CCR4	48
17	1	48000	HOXB13	48
4	1	48000	NA	48
X	1	47000	SMC1A	47
1	1	47000	FUBP1	47
15	1	46000	B2M	46
22	1	45000	SMARCB1	45
17	1	44000	PRKCA	44
19	1	44000	S1PR2	44
6	1	44000	FYN	44
19	1	44000	GNA11	44
9	1	43000	SYK	43
2	1	43000	XPO1	43
3	1	42000	TBL1XR1	42
2	1	42000	NA	42
12	1	41000	ZNF384	41
2	1	41000	CD28	41
6	1	41000	NA	41
11	1	40000	RELA	40
13	1	40000	NUDT15	40
16	1	40000	NA	40
