17	1	2941000
12	1	1314000
4	1	937000
7	1	934000
2	1	916000
1	1	891000
11	1	863000
9	1	858000
5	1	851000
5	1	791000
2	1	773000
NA	1	728000
3	1	699000
17	1	692000
9	1	671000
16	1	650000
20	1	643000
12	1	629000
22	1	588000
3	1	557000
6	1	498000
2	1	440000
13	1	438000
13	1	432000
7	1	425000
X	1	408000
19	1	407000
19	1	397000
9	1	396000
18	1	392000
2	1	391000
1	1	383000
4	1	358000
17	1	354000
7	1	346000
16	1	335000
10	1	319000
13	1	315000
4	1	314000
5	1	309000
9	1	309000
4	1	307000
17	1	307000
4	1	303000
1	1	301000
18	1	296000
19	1	283000
9	1	282000
12	1	282000
4	1	279000
1	1	275000
22	1	273000
16	1	268000
3	1	268000
3	1	257000
7	1	254000
21	1	252000
X	1	250000
19	1	247000
3	1	246000
1	1	243000
12	1	239000
2	1	236000
17	1	236000
7	1	235000
17	1	235000
2	1	235000
19	1	234000
1	1	232000
9	1	232000
10	1	224000
X	1	222000
16	1	219000
13	1	217000
3	1	215000
12	1	209000
11	1	209000
15	1	208000
6	1	207000
X	1	207000
7	1	206000
X	1	206000
1	1	205000
9	1	203000
7	1	2e+05
X	1	2e+05
19	1	198000
2	1	197000
21	1	193000
15	1	193000
2	1	192000
4	1	189000
6	1	187000
19	1	184000
3	1	183000
8	1	182000
7	1	181000
15	1	180000
7	1	180000
7	1	178000
11	1	178000
22	1	177000
19	1	177000
16	1	167000
16	1	164000
16	1	163000
22	1	162000
16	1	162000
2	1	160000
12	1	159000
22	1	157000
17	1	154000
6	1	150000
11	1	148000
12	1	148000
16	1	147000
5	1	145000
1	1	145000
14	1	144000
16	1	142000
12	1	141000
20	1	139000
19	1	138000
20	1	138000
8	1	138000
17	1	138000
19	1	137000
10	1	137000
1	1	136000
3	1	135000
19	1	133000
19	1	132000
12	1	132000
10	1	132000
X	1	127000
2	1	127000
6	1	125000
3	1	124000
18	1	123000
16	1	123000
17	1	121000
3	1	118000
1	1	116000
5	1	116000
6	1	115000
5	1	114000
15	1	114000
1	1	112000
X	1	110000
5	1	109000
19	1	108000
12	1	107000
14	1	106000
X	1	106000
19	1	105000
16	1	105000
8	1	105000
1	1	105000
9	1	105000
4	1	104000
17	1	103000
16	1	102000
10	1	102000
9	1	1e+05
1	1	1e+05
2	1	98000
1	1	98000
3	1	97000
17	1	97000
15	1	97000
5	1	94000
11	1	93000
17	1	93000
3	1	93000
19	1	92000
X	1	91000
10	1	90000
3	1	90000
12	1	90000
8	1	89000
X	1	89000
19	1	89000
14	1	89000
14	1	87000
11	1	86000
6	1	85000
9	1	83000
3	1	83000
X	1	82000
2	1	82000
1	1	81000
9	1	80000
1	1	80000
5	1	79000
3	1	78000
6	1	78000
11	1	77000
1	1	76000
22	1	76000
5	1	76000
2	1	76000
16	1	75000
6	1	75000
7	1	75000
1	1	74000
11	1	71000
16	1	71000
12	1	71000
9	1	70000
13	1	70000
11	1	69000
5	1	66000
1	1	65000
7	1	65000
8	1	64000
11	1	63000
1	1	63000
11	1	62000
3	1	62000
17	1	62000
20	1	60000
1	1	60000
3	1	60000
6	1	60000
6	1	59000
19	1	59000
17	1	58000
1	1	58000
5	1	58000
19	1	58000
9	1	57000
19	1	57000
1	1	57000
10	1	57000
6	1	56000
17	1	56000
20	1	55000
22	1	55000
10	1	55000
19	1	55000
12	1	54000
2	1	54000
X	1	54000
9	1	54000
4	1	53000
11	1	52000
12	1	52000
9	1	52000
1	1	52000
5	1	51000
5	1	50000
19	1	49000
1	1	49000
10	1	49000
20	1	49000
3	1	49000
14	1	49000
19	1	48000
X	1	48000
3	1	48000
17	1	48000
4	1	48000
X	1	47000
1	1	47000
15	1	46000
22	1	45000
17	1	44000
19	1	44000
6	1	44000
9	1	43000
2	1	43000
3	1	42000
2	1	42000
12	1	41000
2	1	41000
6	1	41000
11	1	40000
13	1	40000
16	1	40000
5	1	40000
12	1	40000
5	1	39000
11	1	38000
3	1	38000
20	1	38000
19	1	37000
12	1	35000
1	1	35000
7	1	35000
X	1	35000
17	1	35000
11	1	35000
1	1	34000
10	1	34000
1	1	33000
21	1	32000
17	1	32000
1	1	32000
2	1	31000
11	1	31000
19	1	31000
20	1	31000
X	1	31000
2	1	30000
6	1	29000
19	1	28000
1	1	28000
1	1	26000
6	1	26000
13	1	26000
7	1	25000
1	1	25000
6	1	24000
8	1	23000
17	1	23000
6	1	23000
22	1	22000
17	1	22000
X	1	22000
2	1	22000
10	1	21000
1	1	21000
X	1	20000
12	1	18000
10	1	17000
2	1	17000
X	1	16000
22	1	16000
16	1	15000
15	1	15000
9	1	15000
17	1	13000
5	1	12000
1	1	11000
18	1	10000
8	1	9000
5	1	9000
20	1	9000
12	1	8000
11	1	8000
X	1	8000
5	1	7000
15	1	7000
X	1	7000
3	1	7000
13	1	7000
5	1	6000
7	1	6000
2	1	6000
20	1	5000
17	1	5000
4	1	5000
8	1	5000
19	1	5000
9	1	5000
3	1	4000
7	1	4000
1	1	4000
11	1	4000
5	1	4000
9	1	4000
4	1	4000
15	1	4000
19	1	4000
16	1	4000
13	1	4000
1	1	3000
17	1	3000
11	1	3000
13	1	3000
12	1	3000
6	1	3000
12	1	2000
17	1	2000
2	1	2000
6	1	2000
7	1	2000
3	1	2000
18	1	2000
X	1	2000
11	1	2000
8	1	2000
5	1	2000
4	1	2000
1	1	2000
19	1	2000
16	1	2000
14	1	2000
19	1	1000
6	1	1000
11	1	1000
17	1	1000
12	1	1000
13	1	1000
2	1	1000
3	1	1000
8	1	1000
5	1	1000
22	1	1000
21	1	1000
1	1	1000
7	1	1000
9	1	1000
10	1	1000
